TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,5442,5442,6736,21,584,863,1053,1127,803,1407,1701,2040,2113,
3,8560,8560,10121,1131,1570,1697,1957,1991,1127,1608,1809,2127,2437,
4,8217,8217,8498,1949,2473,2753,2939,2971,2048,2577,2861,3047,3083,
5,9305,9305,9038,2684,3385,3701,3867,4001,3090,3669,3901,4199,4235,
6,8561,8561,8555,4008,4527,4703,5043,5087,4244,4807,5067,5347,5383,
7,7934,7934,8180,4920,5431,5627,5931,5955,5384,5843,6019,6259,6303,node1
8,8216,8216,7844,5908,6355,6531,6719,6827,6308,6751,6951,7175,7203,node1
9,7457,7457,7716,6596,7191,7467,7759,7811,7216,7727,7955,8143,8223,node1
10,8088,8088,8306,7584,8167,8495,8799,8911,8224,8743,8983,9215,9263,node1
11,8445,8445,8278,8512,9167,9359,9687,9751,8840,9703,9943,10159,10207,node1
12,8196,8196,8176,9328,10143,10359,10703,10727,9328,10711,10999,11295,11343,node1
13,7969,7969,8165,10184,11167,11407,11655,11679,10352,11823,12071,12295,12359,node1
14,8018,8018,7933,11184,12079,12215,12535,12551,11368,12639,12871,13079,13103,node1
15,7856,7856,7957,12136,12855,13167,13487,13655,11872,13455,13839,14175,14263,node1
16,8326,8326,8318,12304,13823,14167,14495,14663,12352,14503,14943,15183,15255,node1
17,7819,7819,7924,12904,14727,15151,15399,15655,12424,15359,15815,16231,16287,node1
18,8144,8144,8030,12920,14855,15959,16223,16255,13016,15047,16639,17135,17279,node1
19,7899,7899,7921,12984,15375,16687,17183,17199,12576,15463,16343,17919,18159,node1
20,7969,7969,7579,12968,15855,16375,17727,18191,12624,15871,16543,18719,19055,node1
21,8374,8374,8658,12928,15935,16847,18655,19151,12544,16215,16927,19535,19999,node1
22,8010,8010,8051,13352,15471,16479,18847,19615,13008,16295,17119,18735,19183,node1
23,7937,7937,7992,12912,16367,16959,19359,19807,12544,15279,17199,19167,19695,node1
24,8486,8486,8477,12888,15383,16911,18911,19343,12944,15839,17423,19807,20095,node1
25,8424,8424,8290,12776,15887,16847,18879,19855,12408,16151,16911,19119,20431,node1
26,7775,7775,7982,13200,15887,17247,19407,19871,12952,16295,17327,19727,20159,node1
27,7975,7975,7830,12656,15895,16895,19327,19375,12440,16071,17167,20095,20383,node1
28,7638,7638,8037,12752,15999,17007,19951,20463,12472,15807,16991,20623,21151,node1
29,7550,7550,7366,12976,15543,17007,18959,18991,12568,15919,17183,19935,20175,node1
30,8360,8360,8344,12584,15959,16975,19455,19935,12512,16175,16927,20463,20943,node1
31,8257,8257,8112,12656,15991,16975,19487,20383,12544,16335,16959,19887,20399,node1
