TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2541,2541,5102,25,965,1165,1359,1407,827,1374,1828,2093,2143,
3,7505,7505,6498,1417,1934,2209,2403,2457,2168,2709,3005,3189,3223,
4,6390,6390,6480,2448,2929,3183,3303,3319,3242,3787,4005,4147,4159,
5,8083,8083,8299,3162,3747,3955,4219,4299,3192,4515,4767,5079,5143,
6,8526,8526,8382,4068,4711,4855,5163,5327,4172,5159,5659,6031,6115,node2
7,7349,7349,6960,5016,5603,5903,6023,6175,5244,6231,6715,7103,7151,node2
8,6382,6382,6998,5848,6507,6571,6803,6827,6152,6795,6991,7603,7727,node2
9,7427,7427,7450,6644,7231,7503,7699,7771,7024,7659,7855,8107,8163,node2
10,8112,8112,7518,7476,8139,8399,8559,8615,8004,8527,8735,8887,8935,node2
11,8070,8070,8040,8448,9079,9343,9607,9655,8240,9535,9831,10055,10119,node2
12,7026,7026,7333,9064,10111,10239,10799,10855,9352,10551,10735,11119,11159,node2
13,6761,6761,7519,9592,10911,11159,11423,11487,9832,11463,11743,11903,11967,node2
14,8572,8572,7790,10104,11559,12063,12367,12519,10296,12239,12631,13007,13047,node2
15,7713,7713,7178,10704,12615,13095,13407,13431,11112,13127,13623,13975,14039,node2
16,7144,7144,7751,11016,13591,13935,14383,14511,11144,13423,14519,14871,15175,node2
17,7346,7346,7267,11360,14143,14863,15063,15151,11448,14383,15319,15863,15967,node2
18,8471,8471,8646,11168,14559,15303,15823,16191,11520,14903,15935,16671,16863,node2
19,9485,9485,9783,10960,15479,16207,17007,17071,11216,15919,16799,17887,18079,node2
20,10138,10138,9687,10552,15999,16575,17839,18239,11016,16183,17151,18559,19039,node2
21,8450,8450,8941,11016,16127,16863,18655,19087,11376,16279,17007,19487,19919,node2
22,9411,9411,9488,10792,15879,16399,19455,19839,11304,16367,16895,19743,20303,node2
23,9435,9435,8766,11584,15399,16847,20287,20671,11600,14871,16799,20271,20703,node2
24,9427,9427,9047,11160,15199,16215,21119,21599,11936,15359,16783,21567,21999,node2
25,8736,8736,9360,10944,15159,16327,20943,21967,11440,15647,16719,21519,21983,node2
26,8820,8820,8755,11344,15087,16279,21407,21887,11336,15055,16655,21407,22367,node2
27,8644,8644,8782,11112,14727,16239,20975,21359,11656,14935,16511,21391,21775,node2
28,10083,10083,9897,11456,14143,15759,20063,21695,11592,14351,16303,21007,22143,node2
29,8818,8818,8968,11528,14223,16119,20575,20991,11880,14503,15855,21503,21951,node2
30,8883,8883,8740,11896,13863,15695,19311,19743,12160,13903,16279,19423,19855,node2
31,8546,8546,9139,11536,13639,15311,18911,20239,11832,13919,15727,20239,20303,node2
32,9868,9868,9220,11528,13759,16135,19359,19743,11896,13847,16183,20175,20607,node2
33,9209,9209,8936,11840,13727,15423,18431,18863,12192,14335,15687,18943,18991,node2
34,8736,8736,9072,11432,13727,15631,19263,19711,11640,13927,15759,19375,19823,node2
35,9163,9163,9134,11704,13839,15679,18479,18911,12264,14111,16151,19311,19743,node2
36,9918,9918,9717,11560,13727,15551,17839,19327,11536,14207,15727,19023,20127,node2
37,8843,8843,9060,11544,13775,15983,18655,19103,11840,13991,15751,19455,19887,node2
38,8679,8679,8984,11464,13751,15575,17823,18335,11688,13943,16175,18367,18799,node2
39,9664,9664,9542,11336,14071,15415,17775,18735,11848,14351,15703,19039,19263,node2
40,9272,9272,8916,11384,14055,15903,18575,19039,11416,14335,16063,19503,19951,node2
41,9173,9173,9604,11304,13751,15383,17695,18143,11696,14055,15479,18431,18879,node2
42,9075,9075,8931,10960,13703,15159,17599,18559,10984,13855,15319,17743,19311,node2
43,9561,9561,9489,10984,13639,15567,18463,18927,11288,14199,15991,18623,19071,node2
44,9343,9343,8936,10872,13679,15847,18559,18639,11048,14087,15631,18559,19007,node2
45,8611,8611,9389,10880,13631,15007,17615,18991,11360,13983,15247,17807,19375,node2
46,9489,9489,9200,11408,13631,15735,18559,19199,11760,13943,15927,18783,19391,node2
47,8053,8053,8000,11592,13839,15575,17887,19615,12176,14503,16463,18847,19807,node2
48,8018,8018,8092,11560,13927,15727,18767,18831,12000,14271,15407,19359,19791,node2
49,9073,9073,8774,11624,13575,15591,17935,19279,12400,13975,16191,18687,20207,node2
50,8427,8427,8565,11552,14007,16143,18479,18911,11864,14391,15703,19199,19647,node2
51,8846,8846,8883,11328,14119,15839,18543,19007,12112,14295,16103,18591,19039,node2
52,8952,8952,8944,11632,14055,15511,18047,18111,11912,14567,16031,18895,18959,node2
53,8843,8843,8904,11984,14111,15855,18559,18975,12272,14207,16215,19407,19823,node2
54,9642,9642,9291,11208,14087,15495,17663,18063,11568,14215,15727,18271,18687,node2
55,9638,9638,9568,11616,14111,15879,18911,19343,12320,14311,16159,19535,19967,node2
56,8613,8613,9264,11560,14111,15431,18047,18495,11656,14071,15495,18431,18879,node2
57,9219,9219,9132,11728,14119,15519,18911,19343,12448,14471,15807,19295,19711,node2
58,9937,9937,9622,11560,13615,15359,18511,18911,12056,13815,15895,19199,19599,node2
59,9603,9603,9966,11312,13999,15335,18463,19327,11504,13951,15911,18863,19999,node2
60,9744,9744,9458,11280,14031,15711,18847,19279,11760,14047,15879,19263,19695,node2
61,8918,8918,8975,11320,13799,15399,18479,18863,11896,14423,15887,18639,19039,node2
62,10043,10043,10130,11152,14031,15735,18367,19263,11792,14511,15967,18847,19423,node2
63,9624,9624,9742,11048,13511,15391,18751,19167,11224,13751,15503,19263,19647,node2
64,10186,10186,10062,11112,13807,15295,18255,18719,11680,14087,15639,18511,18943,node2
65,9340,9340,9349,11096,13727,14711,17519,19103,11248,13863,14895,17775,19343,node2
66,9812,9812,9876,11112,13183,14687,18303,18399,11448,13351,15287,18559,18607,node2
67,10324,10324,10127,10952,13239,14679,17727,18191,11064,13583,15079,18431,18879,node2
68,9297,9297,9345,10880,13175,14495,17519,18559,11424,13479,15335,18095,19279,node2
69,9805,9805,9617,11264,13199,14399,17599,17999,11672,13679,14631,18143,18575,node2
70,8951,8951,9318,11048,13159,14703,17519,17967,11144,13623,15055,18447,18879,node2
71,9782,9782,9636,10864,13167,14623,16719,17103,11608,13543,15439,17375,17775,node2
72,9469,9469,9499,11232,13495,14679,17535,17935,11480,13623,14815,18159,18607,node2
73,9602,9602,9569,11360,13159,14775,17551,17935,11392,13927,15111,18463,18895,node2
74,9350,9350,9247,11080,13199,14719,17039,18335,11304,13863,15455,17807,19327,node2
75,8991,8991,8646,11184,13543,14455,17471,17919,11576,13319,14639,18271,18687,node2
76,9411,9411,9565,11136,13655,14751,17551,18031,11392,14199,15479,17567,18015,node2
77,9505,9505,9776,11448,13239,14455,17023,18351,11904,13607,15335,17807,18367,node2
78,10017,10017,9950,11184,13639,15159,17455,17871,11392,13735,15015,18207,18623,node2
79,9337,9337,9348,11136,13303,14823,17471,17887,11616,13583,14911,17519,17951,node2
80,9368,9368,9315,11520,13383,14751,17071,18271,11664,13927,15127,17775,18319,node2
