time: 1s; Messages sent: 0; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 2s; Messages sent: 3601; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 3s; Messages sent: 6905; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 4s; Messages sent: 5710; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 5s; Messages sent: 8584; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 6s; Messages sent: 7210; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 7s; Messages sent: 5538; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 8s; Messages sent: 6791; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 9s; Messages sent: 5061; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 10s; Messages sent: 9502; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 11s; Messages sent: 5898; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 12s; Messages sent: 7099; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 13s; Messages sent: 5944; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 14s; Messages sent: 7310; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 15s; Messages sent: 7200; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 16s; Messages sent: 5981; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 17s; Messages sent: 7761; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 18s; Messages sent: 6581; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 19s; Messages sent: 6611; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 20s; Messages sent: 8025; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 21s; Messages sent: 6488; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 22s; Messages sent: 6832; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 23s; Messages sent: 5568; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 24s; Messages sent: 8288; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 25s; Messages sent: 6455; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 26s; Messages sent: 5217; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 27s; Messages sent: 6643; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 28s; Messages sent: 6994; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 29s; Messages sent: 7103; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 30s; Messages sent: 7473; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 31s; Messages sent: 6227; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 32s; Messages sent: 6419; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 33s; Messages sent: 4499; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 34s; Messages sent: 8228; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 35s; Messages sent: 8054; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 36s; Messages sent: 5000; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 37s; Messages sent: 5432; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 38s; Messages sent: 5968; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 39s; Messages sent: 7760; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 40s; Messages sent: 6861; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 41s; Messages sent: 6303; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 42s; Messages sent: 6076; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 43s; Messages sent: 7337; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 44s; Messages sent: 7870; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 45s; Messages sent: 7817; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 46s; Messages sent: 6779; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 47s; Messages sent: 6797; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 48s; Messages sent: 8038; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 49s; Messages sent: 7318; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 50s; Messages sent: 5420; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 51s; Messages sent: 7688; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 52s; Messages sent: 7139; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 53s; Messages sent: 7571; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 54s; Messages sent: 7309; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 55s; Messages sent: 5745; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 56s; Messages sent: 6946; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
time: 57s; Messages sent: 5870; Messages received: 0; min/median/75th/95th/99th consumer latency: 0/0/0/0/0 ns
