TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms)
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7009,7009,9069,6,340,488,639,655,667,998,1228,1430,145791
3,9115,9115,8661,650,1060,1315,1465,1503,1215,1892,2149,2367,2417
4,8981,8981,8939,1477,1933,2147,2343,2417,1435,2197,2473,2845,3053
5,9060,9060,8915,2416,2877,3143,3293,3317,2434,2917,3157,3373,3419
6,8972,8972,9239,3326,3821,4051,4259,4279,3434,3903,4163,4375,4419
7,8534,8534,9008,4208,4663,4907,5167,5195,4244,4899,5155,5391,5427
8,8440,8440,8244,4284,5423,5663,5951,6135,4428,5823,6119,6367,6395
9,8871,8871,8711,4372,6251,6559,6879,6903,4432,6803,7067,7371,7423
10,8635,8635,8954,4560,7075,7359,7579,7739,4576,7519,7931,8247,8359
11,9928,9928,9178,4992,7275,7727,8067,8139,5112,7387,7931,8535,8735
12,8540,8540,9159,4800,7439,7699,8311,8535,5040,7479,8147,8887,9087
13,9200,9200,9161,4768,7283,7899,8535,8791,4892,7475,8047,8567,8783
14,8710,8710,8231,4884,7375,7751,8567,8631,4812,7947,8439,8919,9167
15,9011,9011,9195,4892,7451,7979,8367,8575,4716,7935,8431,8743,8943
16,8605,8605,8721,4944,7419,7867,8783,9007,5088,7539,8095,8919,9159
17,8749,8749,8868,4988,7395,7875,8535,8735,5040,7491,8175,8847,9071
18,8835,8835,8728,5000,7203,7815,8479,8711,5128,7803,8255,8639,8855
19,8773,8773,8886,4768,7503,7839,8607,8759,4820,7719,8287,9047,9279
20,8813,8813,8801,5004,7303,7947,8767,8935,4960,7479,8351,9231,9391
21,9095,9095,8881,5020,7503,8015,8863,8919,4928,7683,8575,9575,9631
22,9247,9247,9142,4992,7291,7963,8671,8839,4992,7739,8503,9119,9311
23,8403,8403,8891,4972,7487,7955,8791,8807,4900,7851,8375,9167,9511
24,8869,8869,8872,5208,7471,7911,8623,8847,5064,7563,8479,9071,9319
25,9293,9293,8262,5000,7307,7943,8863,8887,5204,7347,8091,9471,9567
26,8792,8792,9668,4884,7335,7871,8767,8991,4992,7655,8311,9063,9295
27,8702,8702,8544,4892,7475,7771,8727,8767,5144,7987,8511,9111,9311
28,8258,8258,8469,4956,7423,7999,8687,8935,4884,7531,8179,8831,9031
29,8787,8787,8537,5200,7387,7943,8591,8743,5068,7751,8359,9167,9415
30,8121,8121,8567,5008,7431,8011,8903,9039,5244,7655,8367,9103,9607
31,8646,8646,8440,5208,7575,7947,8975,9031,5204,7767,8367,9135,9335
32,9267,9267,9000,5372,7675,8071,8991,9223,5336,7907,8575,9719,9791
33,8984,8984,9122,5132,7399,7959,9015,9039,5388,7691,8327,9271,9639
34,9011,9011,8961,4960,7407,8043,8767,8999,5092,7691,8343,9223,9415
35,8525,8525,8721,5000,7343,7847,8871,9031,5004,7783,8391,9375,9647
36,9029,9029,8847,4940,7495,7783,9087,9111,5112,7499,8287,9183,9279
37,8679,8679,9022,4920,7231,7735,8887,9071,4988,7611,8423,9503,9671
38,8580,8580,8380,5008,7247,7951,9055,9111,5432,7787,8279,8975,9175
39,8824,8824,8817,5260,7443,7919,8535,8751,5132,7519,8431,9175,9383
40,8447,8447,8271,5296,7483,7975,8735,8951,5308,7699,8343,9015,9527
41,8662,8662,8883,5308,7547,8199,8911,9127,5512,7771,8455,9191,9367
42,8772,8772,8612,5548,7407,8043,8927,8943,5344,7859,8695,9567,9655
43,8677,8677,8696,5332,7643,8279,8823,9039,5300,8123,8559,9143,9487
44,8476,8476,8730,5324,7695,8123,8751,8943,5520,8015,8607,9063,9295
45,9164,9164,9288,5328,7663,8159,8719,8927,5336,7959,8423,8911,9495
46,9639,9639,9185,5240,7583,8087,8567,8783,5216,8051,8591,9143,9343
47,8265,8265,8361,5264,7579,8055,8767,8831,5376,7831,8255,8783,9015
48,8432,8432,8770,5296,7599,8087,8855,8871,5440,7799,8383,9199,9431
49,8609,8609,8334,5700,7623,8271,8855,8871,5792,7751,8327,9135,9503
50,8471,8471,8653,5464,7619,8075,8727,8983,5740,7823,8471,9207,9375
51,9484,9484,8963,5516,7607,8287,8975,8983,5656,8207,8743,9527,9615
52,8257,8257,8939,5528,7719,7991,8711,8927,5524,7959,8527,9183,9391
53,9054,9054,8912,5540,7979,8223,8951,8967,5368,7903,8423,9279,9639
54,8918,8918,8818,5488,7619,8255,8847,9055,5552,7743,8407,9175,9415
55,9175,9175,8825,5400,7775,8247,9087,9311,5692,8091,8815,9551,9767
56,8709,8709,8922,5380,7723,8183,8999,9031,5324,7955,8519,9263,9463
57,9247,9247,8952,5368,7687,8143,8767,8967,5480,8007,8767,9535,9783
58,8460,8460,8806,5616,7675,8127,8911,9151,5632,7547,8239,9055,9599
59,8939,8939,8972,5608,7451,8107,8759,8991,5548,7871,8391,9167,9375
60,7352,7352,7383,5580,7823,8175,8743,8767,5668,8143,8639,9199,9551
61,8493,8493,8431,5640,7895,8327,8983,9023,5808,8155,8623,8991,9143
62,8978,8978,8775,5676,7963,8399,8767,8983,5736,8223,8679,9239,9343
63,8849,8849,9061,5696,8071,8447,8935,8967,6088,8215,8663,9295,9487
