TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,4709,4709,6612,7,616,908,1059,1109,775,1391,1694,1959,2009,node1
3,10313,10313,10594,1093,1693,1968,2131,2175,1329,2185,2415,2883,2983,node1
4,10019,10019,9928,2056,2525,2823,2939,2951,2240,2717,2979,3145,3319,node1
5,10107,10107,9340,2942,3503,3713,3983,3999,3180,3663,3913,4085,4155,node1
6,9363,9363,10104,3936,4427,4675,4843,4903,4160,4671,4927,5143,5171,node1
7,10166,10166,9514,4896,5291,5515,5755,5795,5180,5623,5903,6055,6107,node1
8,9112,9112,9983,5456,6219,6551,6675,6811,6112,6587,6823,7015,7067,node1
9,9706,9706,9943,5916,7207,7431,7807,7867,6256,7503,7835,8051,8135,node1
10,10229,10229,10161,6708,8079,8311,8463,8479,7300,8495,8743,8927,8951,node1
11,9404,9404,9504,7528,8863,9127,9431,9479,7960,9319,9591,9799,9823,node1
12,10662,10662,10614,8280,9703,9935,10239,10279,8864,10175,10439,10695,10727,node1
13,9926,9926,9774,9096,10551,10823,11071,11119,8976,11063,11367,11639,11703,node1
14,10094,10094,10055,9184,11263,11727,12271,12455,9152,11807,12151,12711,13087,node1
15,9816,9816,10307,9552,11655,12287,13175,13559,9360,12063,12631,13487,13887,node1
16,9233,9233,8566,9784,11839,12751,13831,13895,10272,12231,13311,14735,14823,node1
17,9726,9726,9714,9752,12255,12927,14719,15103,10152,12087,12983,15271,15607,node1
18,9314,9314,9666,9696,11943,12999,15159,15631,9768,12407,13231,15751,16207,node1
19,9380,9380,9672,9840,11927,13087,16071,16463,9960,12431,13415,16055,16671,node1
20,9743,9743,9807,10216,12231,13071,15631,15663,10320,12479,13471,16399,16479,node1
21,10478,10478,9696,10360,11839,13087,15959,16375,10440,12047,13343,16719,17039,node1
22,9750,9750,10233,10376,11983,13031,16279,16359,10328,11927,13103,16863,17343,node1
23,10103,10103,9657,10320,11671,13063,15839,16735,10296,12487,13375,16103,17503,node1
24,9459,9459,9761,10416,12415,13223,16527,16895,10152,12623,13375,16495,16927,node1
25,10071,10071,9674,10424,11623,13255,15695,16151,10560,12455,13575,16367,16799,node1
26,9334,9334,9363,10376,11791,13319,16103,16527,10416,12367,13519,17039,17199,node1
27,10022,10022,9895,10288,12199,13695,16063,16511,10112,12455,13303,16799,17183,node1
28,10019,10019,9555,10216,12135,13375,16447,16863,10480,12479,13527,17231,17631,node1
29,9504,9504,9802,10152,11887,13239,15815,16575,10184,12727,13367,15991,17551,node1
30,9184,9184,9312,10448,11807,13271,16199,16655,10424,12447,13543,16367,16831,node1
31,9644,9644,9234,10568,11775,13271,16319,16767,11032,12463,13439,16719,17135,node1
32,9382,9382,9579,10648,11879,13431,16463,17151,10896,12583,13847,16959,17503,node1
33,9328,9328,9676,10600,12063,13111,15743,16927,10480,12391,13663,15863,17439,node1
34,9966,9966,9647,10592,12007,13455,16183,16543,10328,12559,13567,16623,16703,node1
35,9727,9727,9572,10584,12071,13343,16399,16911,10984,12471,13271,16879,17071,node1
36,9256,9256,9557,10104,12223,13471,16151,16911,10408,13119,13863,17167,17391,node1
37,9066,9066,9795,10480,12287,13439,16543,16943,10232,12575,13455,16943,17519,node1
38,9243,9243,9110,10568,12663,13575,16767,17231,10928,12839,13727,17455,17871,node1
39,9543,9543,9376,10584,12495,13479,16151,16479,10320,12511,13543,16271,16511,node1
40,9886,9886,10370,10128,12327,13455,16895,17327,10160,12559,13447,16655,17087,node1
41,9846,9846,9822,10488,12479,13495,16927,17375,10624,12663,13759,16911,17327,node1
42,9372,9372,9656,10448,12023,13127,16991,17071,9664,12591,13495,17567,17599,node1
43,9927,9927,9563,10008,12455,13479,16991,17391,9920,12599,13775,17183,17759,node1
44,9822,9822,9869,10368,12239,13231,16671,17119,10296,12639,13543,17631,18031,node1
45,9526,9526,9320,10344,12583,13287,17455,17503,10104,12479,14087,16447,18079,node1
46,8963,8963,9555,10352,12735,13311,17135,17631,10520,12567,13599,16879,17327,node1
47,9461,9461,8863,10464,12375,13583,17103,17151,10600,13199,14127,17471,17615,node1
48,9745,9745,10008,10488,12407,13407,16719,17535,10696,12799,13767,17375,17871,node1
49,10153,10153,10274,10360,12375,13335,17087,17519,10520,12695,13687,17007,17887,node1
50,9860,9860,9651,10744,12247,13487,16511,17375,10384,12575,14015,16783,16927,node1
51,9936,9936,9876,10744,12567,13671,16911,17343,10144,12479,13535,17167,17583,node1
52,9677,9677,10008,10344,12103,13207,16927,17343,10200,12327,13367,17391,17807,node1
53,9916,9916,9717,10672,12079,13287,16463,16783,11120,12463,13647,17279,17615,node1
54,10027,10027,10049,10664,12135,13447,16543,17215,10408,12399,13647,16751,17727,node1
55,10195,10195,9962,10232,12391,13551,16895,17311,10368,12447,13879,17055,17263,node1
56,10112,10112,10214,10264,11671,13463,16767,16847,10408,12295,14223,16511,17471,node1
57,9593,9593,10153,10120,12039,13175,16447,17151,9840,12047,13599,16863,17359,node1
58,9277,9277,8978,10952,12087,13351,13575,16495,10248,12303,13343,16191,16207,node1
59,9474,9474,9595,10240,12063,13191,16559,16975,10432,12455,13535,16527,16895,node1
60,9996,9996,9771,10280,12103,13311,16527,16943,10408,12583,13647,16735,17151,node1
61,9747,9747,9714,10688,12127,13231,16879,16943,10544,12367,13383,16591,17423,node1
62,9657,9657,10199,10376,12543,13271,16431,16975,10344,12743,13583,16959,17391,node1
63,9195,9195,9035,10800,12263,12727,13663,13679,10360,12311,13407,16279,16295,node1
